Ava Reid - Wendy Peters
Rose Lewis - Katherine Hemmings
Wendy Peters - Trevor Vaughan
Rose Hemmings - Adam Forsyth
Molly Morrison - Donna Black
Jasmine Wilson - Joanne Jones
Theresa Piper - Lauren Pullman
Jane Nolan - Piers Sanderson
Trevor Vaughan - Richard MacDonald
Jan Sutherland - Theresa Piper
Piers Sanderson - Ryan Ince
Lucas Oliver - Yvonne Blake
Blake Rutherford - Colin Johnston
Jake MacLeod - Jan Welch
Isaac Paterson - Molly Morrison
Faith Sharp - Stephanie Miller
Bella Clark - Rose Lewis
Andrea Howard - Anna Ferguson
Yvonne Blake - Dylan Young
Kylie Jackson - Kylie Jackson
Donna Black - Samantha Dowd
Colin Johnston - Rose Hemmings
Richard Springer - Joseph Morgan
Joanne Jones - Jane Nolan
Richard MacDonald - Jasmine Wilson
Dylan Young - Ava Reid
Leonard Rees - Richard Springer
Fiona Brown - Blake Rutherford
Kevin Clark - Trevor Piper
Ryan Ince - Isaac Paterson
Lauren Pullman - Kevin Clark
Adam Forsyth - Bella Dowd
Samantha Dowd - Jan Sutherland
Anna Ferguson - Andrea Howard
Trevor Piper - Bella Clark
Bella Dowd - Faith Sharp
Katherine Hemmings - Jake MacLeod
Joseph Morgan - Lucas Oliver
Jan Welch - Fiona Brown
Stephanie Miller - Leonard Rees
